id,title,release_date
174,Star Trek VI: The Undiscovered Country,1991-12-06
175,The Big Blue,1988-05-10
176,Saw,2004-10-01
177,The Fisher King,1991-09-20
178,Blown Away,1994-07-01
179,The Interpreter,2005-04-08
180,Minority Report,2002-06-20
182,The Good German,2006-12-15
183,The Wizard,1989-12-15
184,Jackie Brown,1997-12-25
185,A Clockwork Orange,1971-12-19
186,Lucky Number Slevin,2006-02-24
187,Sin City,2005-04-01
189,Sin City: A Dame to Kill For,2014-08-20
190,Das Dorf der Freundschaft,2001-08-25
191,The State I Am In,2001-02-01
192,The Name of the Rose,1986-09-24
193,Star Trek: Generations,1994-11-18
194,Amélie,2001-04-25
195,Trouble in Paradise,1932-10-30
196,Back to the Future Part III,1990-05-25
197,Braveheart,1995-05-24
198,To Be or Not to Be,1942-03-05
199,Star Trek: First Contact,1996-11-22
200,Star Trek: Insurrection,1998-12-11
201,Star Trek: Nemesis,2002-12-13
203,Mean Streets,1973-10-14
204,The Wages of Fear,1953-04-22
205,Hotel Rwanda,2004-03-04
206,Paradise Found,2003-01-01
207,Dead Poets Society,1989-06-02
211,Berlin is in Germany,2001-11-01
212,Arsenic and Old Lace,1944-09-01
213,North by Northwest,1959-07-08
214,Saw III,2006-10-26
215,Saw II,2005-10-28
216,Ali: Fear Eats the Soul,1974-06-05
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
218,The Terminator,1984-10-26
219,Volver,2006-03-17
220,East of Eden,1955-04-10
221,Rebel Without a Cause,1955-10-27
222,Berlin: Symphony of a Great City,1927-09-23
223,Rebecca,1940-03-23
224,Man of Marble,1977-02-25
225,Man of Iron,1981-07-27
226,Boys Don't Cry,1999-09-02
227,The Outsiders,1983-03-25
228,The Blue Angel,1930-04-01
229,The Bride of Frankenstein,1935-04-20
231,Syriana,2005-11-23
232,Rumble Fish,1983-10-09
233,The Wanderers,1979-07-13
234,The Cabinet of Dr. Caligari,1920-02-27
235,Stand by Me,1986-08-08
236,Muriel's Wedding,1994-09-29
237,Young Adam,2003-09-26
238,The Godfather,1972-03-14
239,Some Like It Hot,1959-03-19
240,The Godfather Part II,1974-12-20
241,Natural Born Killers,1994-08-26
242,The Godfather Part III,1990-12-25
243,High Fidelity,2000-03-17
244,King Kong,1933-03-15
245,About a Boy,2002-04-26
246,Zatoichi,2003-09-06
247,The Killing,1956-06-06
248,Pocketful of Miracles,1961-12-18
249,The War of the Roses,1989-12-08
250,In China They Eat Dogs,1999-09-10
251,Ghost,1990-07-13
252,Willy Wonka & the Chocolate Factory,1971-06-29
253,Live and Let Die,1973-06-27
254,King Kong,2005-12-12
255,Stolen Kisses,1968-09-04
256,Antoine and Colette,1962-06-22
257,Oliver Twist,2005-09-23
258,Bed and Board,1970-09-09
259,Love on the Run,1979-01-24
260,The 39 Steps,1935-06-06
261,Cat on a Hot Tin Roof,1958-08-29
262,The King of Comedy,1982-12-18
265,Lili Marleen,1981-01-14
266,Contempt,1963-10-29
267,Live Flesh,1997-10-10
268,Batman,1989-06-21
269,Breathless,1960-03-16
270,Wir sagen Du! Schatz.,2007-11-01
271,"Ronia, The Robber's Daughter",1984-12-14
272,Batman Begins,2005-06-10
273,The White Sound,2001-12-31
274,The Silence of the Lambs,1991-02-14
275,Fargo,1996-03-08
276,The Edukators,2004-10-25
277,Underworld,2003-09-19
278,The Shawshank Redemption,1994-09-23
279,Amadeus,1984-09-19
280,Terminator 2: Judgment Day,1991-07-03
281,Strange Days,1995-10-13
284,The Apartment,1960-06-21
285,Pirates of the Caribbean: At World's End,2007-05-19
286,Germany: A Summer's Fairytale,2006-10-03
287,Bull Durham,1988-06-15
288,High Noon,1952-06-09
289,Casablanca,1943-01-15
290,Barton Fink,1991-08-01
291,Riding Giants,2004-07-09
292,Dave Chappelle's Block Party,2005-09-12
293,A River Runs Through It,1992-10-09
294,Desert Hearts,1985-10-01
296,Terminator 3: Rise of the Machines,2003-07-02
297,Meet Joe Black,1998-11-12
298,Ocean's Thirteen,2007-06-05
299,Ocean's Eleven,1960-08-10
300,The Science of Sleep,2006-06-25
301,Rio Bravo,1959-03-18
302,Swimming Pool,2003-05-21
303,Notorious,1946-08-21
306,Beverly Hills Cop III,1994-05-24
307,"Rome, Open City",1945-10-08
308,Broken Flowers,2005-08-05
309,The Celebration,1998-06-19
310,Bruce Almighty,2003-05-23
311,Once Upon a Time in America,1984-05-23
312,Beyond Silence,1996-12-18
313,Snow Cake,2006-09-08
314,Catwoman,2004-07-22
315,"Faster, Pussycat! Kill! Kill!",1965-08-06
316,Grill Point,2002-02-12
317,Grbavica: The Land of My Dreams,2006-03-01
318,The Million Dollar Hotel,2000-02-09
319,True Romance,1993-09-09
320,Insomnia,2002-05-24
321,Mambo Italiano,2003-06-06
322,Mystic River,2003-03-03
326,Snakes on a Plane,2006-08-17
327,Brother,2000-12-13
329,Jurassic Park,1993-06-11
330,The Lost World: Jurassic Park,1997-05-23
331,Jurassic Park III,2001-07-18
332,Inspector Gadget,1999-07-23
333,Bollywood/Hollywood,2002-10-25
334,Magnolia,1999-12-10
335,Once Upon a Time in the West,1968-12-21
336,"Duck, You Sucker",1971-10-20
337,Monsieur Ibrahim,2003-09-17
338,"Good Bye, Lenin!",2003-02-13
339,Night on Earth,1991-12-12
340,Everything Is Illuminated,2005-09-05
341,A Crime,2006-09-11
342,Summer Storm,2004-09-02
343,Harold and Maude,1971-12-20
344,"Bang, Boom, Bang",1999-08-26
345,Eyes Wide Shut,1999-07-16
346,Seven Samurai,1954-04-26
347,People on Sunday,1930-02-04
348,Alien,1979-05-25
349,Cockles and Muscles,2005-03-30
350,The Devil Wears Prada,2006-06-29
351,Longing,2006-02-15
363,Head-On,2004-03-11
364,Batman Returns,1992-06-19
377,A Nightmare on Elm Street,1984-11-09
378,Raising Arizona,1987-03-01
379,Miller's Crossing,1990-09-21
380,Rain Man,1988-12-12
381,To Catch a Thief,1955-08-03
383,Mala Noche,1986-02-05
387,Das Boot,1981-09-17
388,Inside Man,2006-03-17
389,12 Angry Men,1957-04-10
390,Lisbon Story,1994-12-16
391,A Fistful of Dollars,1964-09-12
392,Chocolat,2000-12-22
393,Kill Bill: Vol. 2,2004-04-16
395,AVP: Alien vs. Predator,2004-08-12
396,Who's Afraid of Virginia Woolf?,1966-06-22
397,French Kiss,1995-05-05
398,Capote,2005-09-30
400,Things to Do in Denver When You're Dead,1995-12-01
401,Garden State,2004-07-28
402,Basic Instinct,1992-03-20
403,Driving Miss Daisy,1989-12-13
404,The Straight Story,1999-10-15
405,La Strada,1954-09-23
406,La Haine,1995-05-31
407,Short Sharp Shock,1998-10-15
408,Snow White and the Seven Dwarfs,1937-12-21
409,The English Patient,1996-11-14
410,Summer in Berlin,2005-09-09
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
414,Batman Forever,1995-06-16
415,Batman & Robin,1997-06-20
419,About the Looking for and the Finding of Love,2005-01-27
421,The Life Aquatic with Steve Zissou,2004-12-10
422,8½,1963-02-14
423,The Pianist,2002-09-17
424,Schindler's List,1993-12-15
425,Ice Age,2002-03-10
426,Vertigo,1958-05-28
427,Mon Oncle,1958-05-10
428,Summer '04,2006-10-11
429,"The Good, the Bad and the Ugly",1966-12-23
430,"One, Two, Three",1961-12-15
431,Cube,1997-09-09
433,Mary Poppins,1964-12-17
434,Tough Enough,2006-03-09
435,The Day After Tomorrow,2004-05-26
436,Maria Full of Grace,2004-01-18
437,Cube 2: Hypercube,2002-04-15
438,Cube Zero,2004-10-10
439,La Dolce Vita,1960-02-05
440,Aliens vs Predator: Requiem,2007-12-25
441,Human Nature,2001-09-12
442,Popular Music,2004-10-01
445,Caché,2005-10-05
446,Distant Lights,2003-02-11
451,Leaving Las Vegas,1995-10-27
452,The Idiots,1998-04-28
453,A Beautiful Mind,2001-12-11
454,Romeo + Juliet,1996-11-01
455,Bend It Like Beckham,2002-04-11
457,Sissi,1955-12-22
458,Sissi: The Young Empress,1956-12-01
459,Sissi: The Fateful Years of an Empress,1957-12-18
460,Go for Zucker,2004-12-31
462,Erin Brockovich,2000-03-17
464,As It Is in Heaven,2004-09-03
465,36 Fillette,1988-03-03
466,Klute,1971-06-23
467,The Hole,2001-04-20
468,My Own Private Idaho,1991-02-01
469,Stranger Than Paradise,1984-10-01
470,21 Grams,2003-09-06
471,Bandyta,1997-11-07
473,Pi,1998-07-10
475,Bonnie and Clyde,1967-08-14
476,Drugstore Cowboy,1989-10-20
479,Shaft,2000-06-15
480,Monsoon Wedding,2001-08-30
481,7 Virgins,2005-10-14
482,Shaft,1971-06-25
483,Wild at Heart,1990-08-17
488,The African Queen,1952-01-07
489,Good Will Hunting,1997-12-05
490,The Seventh Seal,1957-02-16
491,Ghettokids - Brüder ohne Heimat,2002-07-04
492,Being John Malkovich,1999-10-29
493,Shaft's Big Score!,1972-06-08
494,Shaft in Africa,1973-06-14
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01
497,The Green Mile,1999-12-10
499,Cléo from 5 to 7,1962-04-11
500,Reservoir Dogs,1992-09-02
501,Grizzly Man,2005-08-12
502,Fail Safe,1964-10-07
503,Poseidon,2006-05-10
504,Monster,2003-12-24
505,Johnny Handsome,1989-09-12
506,Marnie,1964-07-17
507,Killing Zoe,1993-10-01
508,Love Actually,2003-09-07
509,Notting Hill,1999-05-21
510,One Flew Over the Cuckoo's Nest,1975-11-19
511,The Promised Land,1975-02-21
512,Scoop,2006-07-27
513,Fire,1997-08-22
521,Dial M for Murder,1954-05-29
522,Ed Wood,1994-09-27
523,Requiem,2006-03-02
524,Casino,1995-11-22
525,The Blues Brothers,1980-06-16
526,Ladyhawke,1985-03-27
527,Once Were Warriors,1994-09-02
530,A Grand Day Out,1990-05-18
531,The Wrong Trousers,1993-12-17
532,A Close Shave,1995-04-10
533,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
534,Terminator Salvation,2009-05-20
535,Flashdance,1983-04-14
536,Stuttgart Shanghai,2007-03-01
537,Not Here to Be Loved,2005-10-12
538,Janine F.,2004-02-11
539,Psycho,1960-06-22
540,D.E.B.S.,2004-01-21
541,The Man with the Golden Arm,1955-12-26
542,The Crime of Padre Amaro,2002-10-01
543,Blackmail,1929-07-28
544,There's Something About Mary,1998-07-15
546,Transamerica,2005-12-23
547,The Horse Whisperer,1998-02-01
548,Rashomon,1950-08-26
549,Basquiat,1996-08-09
550,Fight Club,1999-10-15
551,The Poseidon Adventure,1972-12-13
552,Bread and Tulips,2000-03-03
553,Dogville,2003-05-19
554,The Cuckoo,2002-01-01
555,Absolut,2005-04-20
557,Spider-Man,2002-05-01
558,Spider-Man 2,2004-06-25
559,Spider-Man 3,2007-05-01
560,Secret Beyond the Door...,1947-12-24
561,Constantine,2005-02-08
562,Die Hard,1988-07-15
563,Starship Troopers,1997-11-07
564,The Mummy,1999-04-16
565,The Ring,2002-10-18
567,Rear Window,1954-08-01
568,Apollo 13,1995-06-30
570,Fat Girl,2001-03-07
571,The Birds,1963-03-28
572,Next Door,2005-03-11
573,Frenzy,1972-05-25
574,The Man Who Knew Too Much,1956-05-16
575,The Experiment,2001-03-07
576,The Wild Bunch,1969-06-19
577,To Die For,1995-09-22
578,Jaws,1975-06-20
579,Jaws 2,1978-06-16
580,Jaws: The Revenge,1987-07-17
581,Dances with Wolves,1990-03-30
582,The Lives of Others,2006-03-15
583,Life of Brian,1979-08-17
584,2 Fast 2 Furious,2003-06-05
585,"Monsters, Inc.",2001-11-01
586,Wag the Dog,1997-12-25
587,Big Fish,2003-12-25
588,Silent Hill,2006-04-21
590,The Hours,2002-12-27
591,The Da Vinci Code,2006-05-17
592,The Conversation,1974-04-07
593,Solaris,1972-03-20
594,The Terminal,2004-06-17
595,To Kill a Mockingbird,1962-12-20
596,The Grapes of Wrath,1940-03-15
597,Titanic,1997-11-18
598,City of God,2002-08-30
599,Sunset Boulevard,1950-08-10
600,Full Metal Jacket,1987-06-26
601,E.T. the Extra-Terrestrial,1982-06-11
602,Independence Day,1996-06-25
603,The Matrix,1999-03-30
604,The Matrix Reloaded,2003-05-15
605,The Matrix Revolutions,2003-11-05
606,Out of Africa,1985-12-20
607,Men in Black,1997-07-02
608,Men in Black II,2002-07-03
609,Poltergeist,1982-06-04
612,Munich,2005-12-23
613,Downfall,2004-09-16
614,Wild Strawberries,1957-12-26
615,The Passion of the Christ,2004-02-25
616,The Last Samurai,2003-12-05
617,Wild Things,1998-03-20
618,The Birth of a Nation,1915-02-08
619,The Bodyguard,1992-11-25
620,Ghostbusters,1984-06-08
621,Grease,1978-07-07
622,The Ninth Gate,1999-08-25
623,A Fish Called Wanda,1988-07-15
624,Easy Rider,1969-06-26
625,The Killing Fields,1984-11-23
626,Un Chien Andalou,1929-06-05
627,Trainspotting,1996-02-23
628,Interview with the Vampire,1994-11-11
629,The Usual Suspects,1995-07-19
630,The Wizard of Oz,1939-08-15
631,Sunrise: A Song of Two Humans,1927-11-04
632,Stalag 17,1953-05-29
633,Soldier of Orange,1977-09-22
634,Bridget Jones's Diary,2001-04-13
635,Angel Heart,1987-03-06
636,THX 1138,1971-03-11
637,Life Is Beautiful,1997-12-20
638,Lost Highway,1997-01-15
639,When Harry Met Sally...,1989-07-21
640,Catch Me If You Can,2002-12-16
641,Requiem for a Dream,2000-10-06
642,Butch Cassidy and the Sundance Kid,1969-01-15
643,Battleship Potemkin,1925-12-24
644,A.I. Artificial Intelligence,2001-06-29
646,Dr. No,1962-10-07
647,Final Fantasy VII: Advent Children,2005-07-14
648,Beauty and the Beast,1946-10-29
649,Belle de Jour,1967-05-24
650,Boyz n the Hood,1991-07-12
651,M*A*S*H,1970-02-18
652,Troy,2004-05-13
653,Nosferatu,1922-02-16
654,On the Waterfront,1954-06-22
655,"Paris, Texas",1984-08-23
657,From Russia with Love,1963-10-10
658,Goldfinger,1964-09-20
659,The Tin Drum,1979-05-02
660,Thunderball,1965-12-11
661,The Marriage of Maria Braun,1979-03-23
662,La Jetée,1962-02-16
663,Saw IV,2007-10-25
664,Twister,1996-05-10
665,Ben-Hur,1959-11-18
666,Central Station,1998-11-20
667,You Only Live Twice,1967-06-13
668,On Her Majesty's Secret Service,1969-12-18
669,Nanook of the North,1922-06-11
670,Oldboy,2003-11-21
671,Harry Potter and the Philosopher's Stone,2001-11-16
672,Harry Potter and the Chamber of Secrets,2002-11-13
673,Harry Potter and the Prisoner of Azkaban,2004-05-31
674,Harry Potter and the Goblet of Fire,2005-11-16
675,Harry Potter and the Order of the Phoenix,2007-07-08
676,Pearl Harbor,2001-05-21
677,Olympia Part One: Festival of the Nations,1938-04-20
678,Out of the Past,1947-11-25
679,Aliens,1986-07-18
680,Pulp Fiction,1994-09-10
681,Diamonds Are Forever,1971-12-14
682,The Man with the Golden Gun,1974-12-01
685,Olympia Part Two: Festival of Beauty,1938-04-20
686,Contact,1997-07-11
687,Dead Man Walking,1995-12-29
688,The Bridges of Madison County,1995-06-02
689,The Travelling Players,1975-07-01
690,Pickpocket,1959-12-16
691,The Spy Who Loved Me,1977-07-07
692,Pink Flamingos,1972-03-17
693,Meet the Fockers,2004-12-22
694,The Shining,1980-05-23
695,Short Cuts,1993-09-05
696,Manhattan,1979-04-25
697,October (Ten Days that Shook the World),1928-01-20
698,Moonraker,1979-06-26
699,For Your Eyes Only,1981-06-24
700,Octopussy,1983-06-05
701,Our Hospitality,1923-11-19
702,A Streetcar Named Desire,1951-09-19
703,Annie Hall,1977-04-19
704,A Hard Day's Night,1964-07-07
705,All About Eve,1950-10-06
706,Effi Briest,1974-06-20
707,A View to a Kill,1985-05-24
708,The Living Daylights,1987-06-29
709,Licence to Kill,1989-06-13
710,GoldenEye,1995-11-16
711,Finding Forrester,2000-12-21
712,Four Weddings and a Funeral,1994-03-09
713,The Piano,1993-05-19
714,Tomorrow Never Dies,1997-12-11
742,Together,2000-08-25
743,Train Birds,1998-01-01
744,Top Gun,1986-05-16
745,The Sixth Sense,1999-08-06
746,The Last Emperor,1987-10-04
747,Shaun of the Dead,2004-04-09
750,Murder She Said,1961-09-26
751,Murder at the Gallop,1963-06-24
752,V for Vendetta,2006-02-23
753,Faces,1968-11-24
754,Face/Off,1997-06-27
755,From Dusk Till Dawn,1996-01-19
756,Fantasia,1940-11-13
757,Murder Most Foul,1964-03-01
758,Murder Ahoy,1964-09-22
759,Gentlemen Prefer Blondes,1953-07-14
760,The Mad Adventures of Rabbi Jacob,1973-10-17
761,The Wing or the Thigh?,1976-10-27
762,Monty Python and the Holy Grail,1975-05-25
763,Braindead,1992-08-13
764,The Evil Dead,1981-09-10
765,Evil Dead II,1987-03-13
766,Army of Darkness,1992-10-31
767,Harry Potter and the Half-Blood Prince,2009-07-15
768,From Hell,2001-02-08
769,GoodFellas,1990-09-12
770,Gone with the Wind,1939-12-15
771,Home Alone,1990-11-16
772,Home Alone 2: Lost in New York,1992-11-19
773,Little Miss Sunshine,2006-07-26
774,Workers Leaving the Lumière Factory,1895-03-22
775,A Trip to the Moon,1902-04-17
776,The Rules of the Game,1939-07-09
777,Grand Illusion,1937-06-04
778,Monsieur Hulot's Holiday,1953-02-25
779,Vampyr,1932-05-06
780,The Passion of Joan of Arc,1928-04-21
781,Wintersleepers,1997-10-30
782,Gattaca,1997-09-07
783,Gandhi,1982-11-30
784,Kolya,1996-05-15
785,Kuhle Wampe or Who Owns the World?,1932-05-14
786,Almost Famous,2000-09-15
787,Mr. & Mrs. Smith,2005-06-07
788,Mrs. Doubtfire,1993-11-24
789,Closely Watched Trains,1966-11-18
790,The Fog,1980-02-08
791,The Fog,2005-10-14
792,Platoon,1986-12-19
793,Blue Velvet,1986-09-19
794,The Omen,1976-06-25
795,City of Angels,1998-04-10
796,Cruel Intentions,1999-03-05
797,Persona,1966-10-18
798,Annaluise & Anton,1953-08-26
799,Annaluise & Anton,1999-03-11
800,The Young and the Damned,1950-12-09
801,"Good Morning, Vietnam",1987-12-23
802,Lolita,1962-06-13
803,Night and Fog,1956-04-29
804,Roman Holiday,1953-08-26
805,Rosemary's Baby,1968-06-12
806,The Omen,2006-06-06
807,Se7en,1995-09-22
808,Shrek,2001-05-18
809,Shrek 2,2004-05-19
810,Shrek the Third,2007-05-17
811,Silent Running,1972-03-09
812,Aladdin,1992-11-25
813,Airplane!,1980-07-02
814,An American Werewolf in London,1981-08-21
815,Animal Farm,1999-10-03
816,Austin Powers: International Man of Mystery,1997-05-02
817,Austin Powers: The Spy Who Shagged Me,1999-06-08
818,Austin Powers in Goldmember,2002-07-26
819,Sleepers,1996-10-18
820,JFK,1991-12-20
821,Judgment at Nuremberg,1961-12-18
822,The Music Room,1958-10-10
823,Jin-Roh: The Wolf Brigade,1999-11-17
824,Moulin Rouge!,2001-05-24
825,Playing by Heart,1998-12-30
826,The Bridge on the River Kwai,1957-10-11
827,Diabolique,1955-01-29
828,The Day the Earth Stood Still,1951-09-28
829,Chinatown,1974-06-20
830,Forbidden Planet,1956-03-23
831,This Island Earth,1955-06-01
832,M,1931-05-11
833,Umberto D.,1952-01-20
834,Underworld: Evolution,2006-01-12
835,F.P.1 Doesn't Answer,1932-12-22
836,Barren Lives,1963-08-22
837,Videodrome,1983-02-04
838,American Graffiti,1973-08-01
839,Duel,1971-11-13
840,Close Encounters of the Third Kind,1977-11-18
841,Dune,1984-12-14
842,The Assassination of Richard Nixon,2004-05-17
843,In the Mood for Love,2000-09-29
844,2046,2004-05-20
845,Strangers on a Train,1951-06-27
846,The X Files,1998-06-19
847,Willow,1988-05-20
848,Dragonslayer,1981-06-26
849,Krull,1983-07-29
850,A Christmas Story,1983-11-18
851,Brief Encounter,1945-11-24
852,It Happened in Broad Daylight,1958-06-09
853,Enemy at the Gates,2001-03-14
854,The Mask,1994-07-29
855,Black Hawk Down,2001-12-28
856,Who Framed Roger Rabbit,1988-06-21
857,Saving Private Ryan,1998-07-24
858,Sleepless in Seattle,1993-06-24
859,Dangerous Liaisons,1988-12-21
860,WarGames,1983-06-03
861,Total Recall,1990-06-01
862,Toy Story,1995-10-30
863,Toy Story 2,1999-10-30
864,Cool Runnings,1993-10-01
865,The Running Man,1987-11-13
866,Finding Neverland,2004-10-17
867,Sliver,1993-05-21
868,Tsotsi,2005-12-23
869,Planet of the Apes,2001-07-25
870,Dolls,2002-10-12
871,Planet of the Apes,1968-02-07
872,Singin' in the Rain,1952-04-09
873,The Color Purple,1985-12-18
874,A Man for All Seasons,1966-12-13
875,Shanghai Express,1932-02-12
877,Scarface,1932-04-09
878,The Punch Bowl,1944-01-28
879,Hook,1991-04-10
880,Antonia's Line,1995-09-21
881,A Few Good Men,1992-12-11
882,Flussfahrt mit Huhn,1984-11-16
883,Coffee and Cigarettes,2003-09-05
884,Crash,1996-07-17
885,The Docks of New York,1928-09-16
886,The Cincinnati Kid,1965-10-15
887,The Best Years of Our Lives,1946-12-25
888,The Flintstones,1994-05-26
889,The Flintstones in Viva Rock Vegas,2000-04-28
890,Brother of Sleep,1995-09-08
891,All the President's Men,1976-04-09
892,Delicatessen,1991-04-17
893,Policewoman,2000-05-10
894,Willenbrock,2005-03-17
895,Andrei Rublev,1966-12-16
896,Apur Sansar,1959-05-01
897,Aparajito,1956-10-11
898,Birdman of Alcatraz,1962-07-04
899,Broken Blossoms,1919-05-13
900,Bringing Up Baby,1938-02-18
901,City Lights,1931-02-01
902,The City of Lost Children,1995-05-17
903,Cool Hand Luke,1967-11-01
904,The Pride of the Firm,1914-04-30
905,Pandora's Box,1929-01-30
906,The Three from the Filling Station,1930-09-15
907,Doctor Zhivago,1965-12-22
908,Schnitzel Paradise,2005-09-08
909,Meet Me in St. Louis,1944-11-28
910,The Big Sleep,1946-08-23
911,The Bank Dick,1940-11-29
912,The Thomas Crown Affair,1968-06-26
913,The Thomas Crown Affair,1999-08-06
914,The Great Dictator,1940-10-15
916,Bullitt,1968-10-17
917,Mother India,1957-02-13
918,Blind Date,1987-03-27
919,Blood: The Last Vampire,2000-11-18
920,Cars,2006-06-08
921,Cinderella Man,2005-06-02
922,Dead Man,1995-12-23
923,Dawn of the Dead,1978-09-02
924,Dawn of the Dead,2004-03-19
925,Do the Right Thing,1989-06-14
926,Galaxy Quest,1999-12-25
927,Gremlins,1984-06-08
928,Gremlins 2: The New Batch,1990-06-15
929,Godzilla,1998-05-20
930,The Great Love,1942-06-12
931,Don't Look Now,1973-01-18
932,The Murderers Are Among Us,1946-10-15
933,Hot Summer,1968-06-20
934,Rififi,1955-04-13
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29
936,The Pink Panther,1963-12-18
938,For a Few Dollars More,1965-12-18
939,The Jazz Singer,1928-02-04
940,The Lady Vanishes,1938-10-07
941,Lethal Weapon,1987-03-06
942,Lethal Weapon 2,1989-07-07
943,Lethal Weapon 3,1992-05-15
