author,id,name,rating
Author 11,a550a64c-53ef-4dc7-a12b-8021f4138f3c,Book 7051,5
Author 12,fb6bc68a-43d9-4536-8b6c-937bfe860f62,Book 7052,3
Author 13,85e1ecac-0d26-4155-a4cf-fab26234cea3,Book 7053,1
Author 14,c40b0493-0a1f-4f27-a20f-33c6e08daf20,Book 7054,3
Author 15,90492c7c-b82d-4be7-8576-b823aa563523,Book 7055,2
Author 16,9afbcb5d-49a6-482c-8c5f-7627ebc018b3,Book 7056,3
Author 17,4c28d046-345c-4e09-9499-2ee8df3b9fe3,Book 7057,1
Author 18,a3f22e5e-ac45-402c-98bc-51fb937e616f,Book 7058,2
Author 19,c2544986-3395-4e87-8b38-0a3f4df71871,Book 7059,2
Author 0,4ce2c4bb-3911-42cf-85a2-79fbc1c5ed7d,Book 7060,1
Author 1,e9cc9775-bb5f-427d-aa5a-3337f7998aff,Book 7061,5
Author 2,4240e50a-a3c9-4547-a656-42054c8bf9ea,Book 7062,4
Author 3,a84ae1be-b06f-4692-86cd-b25fc79f1cff,Book 7063,5
Author 4,86a788ca-9a14-4e64-9245-08212813307a,Book 7064,3
Author 5,14387976-cd1d-4434-9454-caf5b721afa7,Book 7065,2
Author 6,e472d828-4f50-40fa-9c70-3ca533ae6e44,Book 7066,2
Author 7,61d6e357-a7b2-4f3d-8d27-7650b77282de,Book 7067,4
Author 8,fd2db906-7da5-4f9b-b961-c6a275508382,Book 7068,4
Author 9,92e660c3-1ffd-4aae-8d28-a95a633260b7,Book 7069,3
Author 10,b2fe478e-842f-425e-9adb-797b983148bb,Book 7070,4
Author 11,58ad2291-4c9b-4e8e-9d98-9de84f93966e,Book 7071,2
Author 12,b1d0000f-7040-4b44-8531-37beec49e23e,Book 7072,4
Author 13,4c40b96d-a8ca-49d3-9ac2-78109fa51d6d,Book 7073,3
Author 14,c85aa06f-f255-424b-b118-4dc59ca86ef6,Book 7074,2
Author 15,01e70e0f-dc5a-4647-ab57-892082a3b01f,Book 7075,3
Author 16,b4800d93-021d-4948-ae7c-7bdb771dd43c,Book 7076,1
Author 17,8bcc6f90-d722-4999-b125-6babd4930348,Book 7077,4
Author 18,de7e8c93-e8ac-47e8-9f08-f8e4267f70c8,Book 7078,2
Author 19,d3542479-bb2f-45a3-809c-2c4d4bf4bf2d,Book 7079,4
Author 0,87fa0327-e656-4624-bf02-b937be616fba,Book 7080,3
Author 1,373e88bf-7650-427d-8ff6-4ba31f567e82,Book 7081,2
Author 2,75a036fa-8b56-4670-b259-9f85880b31e0,Book 7082,2
Author 3,48119e44-2897-45f2-acdc-45c36017b141,Book 7083,2
Author 4,186d424b-f31a-4cce-bbbd-54d3c78d7f38,Book 7084,5
Author 5,be995bac-24c7-40a8-8aeb-a4e858ab362e,Book 7085,2
Author 6,2af9a4da-8a4e-4352-b90f-1fac439740c8,Book 7086,1
Author 7,9b39f212-592e-4fb5-ab25-aafa62680a32,Book 7087,5
Author 8,5b79d10a-9e5b-46db-b9e6-820a4c70b6c9,Book 7088,5
Author 9,18c08bd2-5cc1-45a7-ae67-e7c0b9094dac,Book 7089,3
Author 10,1024bc6e-00a1-4a4f-bc2f-bd382e778124,Book 7090,3
Author 11,ecdc435b-dd2a-4d41-ac70-234ea794d8ab,Book 7091,4
Author 12,02f10f67-5fc4-460c-ab79-fe2842830b50,Book 7092,2
Author 13,31633c5d-e771-492d-882b-20b701f80243,Book 7093,2
Author 14,3ed10dce-3b12-473b-8fff-db137cf0a475,Book 7094,5
Author 15,5ba1303a-cd71-4a22-95c6-f93c18101491,Book 7095,4
Author 16,cd54641e-d495-4f70-ba00-3dd6ed06b49f,Book 7096,3
Author 17,6ebfe55b-df01-47d5-87cd-ad4f8a8cefe6,Book 7097,5
Author 18,44315789-da77-415d-be98-8ddf2471a619,Book 7098,2
Author 19,9837beb0-764d-497d-8aa8-2ace035da2d1,Book 7099,2
Author 0,b7377971-a9bb-409d-ae0f-92392c869067,Book 7100,5
Author 1,dc4adff9-4513-4a38-9c1a-466a7ce26fc8,Book 7101,4
Author 2,78021703-a4ee-4e05-b129-e88e72ff0ba9,Book 7102,3
Author 3,4d052890-55dc-48eb-9997-7ab97a7a17e9,Book 7103,1
Author 4,b1df0d18-1363-40df-988d-4b2ea956d41c,Book 7104,5
Author 5,f95a6bfa-6f2a-4eca-aa12-e41744ac75b6,Book 7105,1
Author 8,00fcbccf-13e2-49b9-a58a-fc1a5b997144,Book 6888,5
Author 9,02a15e1d-d55a-4cf1-98b1-6111a854a639,Book 6889,3
Author 10,27cb4ee1-e2cb-4639-943e-cce053165589,Book 6890,5
Author 11,b65b25b6-8264-4852-b31d-0451d7e94720,Book 6891,3
Author 12,bef0ad5c-2bb7-4c72-af20-b80429477536,Book 6892,4
Author 13,99685309-1b39-40a0-bd9d-614a8deb665f,Book 6893,5
Author 14,20e98a75-6a80-4363-89c7-ec96bfed517e,Book 6894,1
Author 15,3277521f-6e02-4d4b-94dc-8bbe9ef5253d,Book 6895,2
Author 16,bcb31372-a14c-449e-a67d-95a517b9b6de,Book 6896,5
Author 17,d3dfff32-454a-4263-996f-34a26e98bfbe,Book 6897,5
Author 18,58796088-d756-4dff-acb3-831ccc5fecd0,Book 6898,2
Author 19,266b329b-5f06-4447-8891-aac9fc0cc470,Book 6899,1
Author 0,9822dafb-6417-45a0-b0fd-8844e0e393a8,Book 6900,5
Author 1,4325d908-7bd1-48dd-bbf3-e7bb29306756,Book 6901,5
Author 2,3d9cfe72-0910-4f3e-b031-0728ce57f1f2,Book 6902,3
Author 3,46453bc4-e19f-4f37-b595-c17cf8fa0b6f,Book 6903,2
Author 4,d2d68762-a76a-4eae-a04b-c1e7ae659212,Book 6904,2
Author 5,c90b2adb-6798-4fb5-8144-6fc581c6ce57,Book 6905,2
Author 6,ed1e2cf7-fc4a-4e60-93ee-c0fc58cc9ea0,Book 6906,1
Author 7,7724c70b-ac04-4e96-a4f6-a0f7d6d807c9,Book 6907,1
Author 8,ff76debb-6a33-4d1b-9a9d-2adfc9d22915,Book 6908,3
Author 9,346fc7f4-509b-43b8-8284-96f763502e2c,Book 6909,2
Author 10,6cf7446d-a794-4bf8-b812-4a518d31aeb6,Book 6910,5
Author 11,956376d1-7176-428b-99a5-f2ba1d307ffa,Book 6911,2
Author 12,7a9ab446-b5f0-4dbe-8d49-73b708bca88a,Book 6912,3
Author 13,5d16c476-93ea-4bda-b2cc-60187b758fdc,Book 6913,1
Author 14,6f33e408-f3c5-4011-89ed-c5dcb13b4d17,Book 6914,3
Author 15,2428364c-4355-46c7-b660-044fcf09d515,Book 6915,3
Author 16,7770383b-e03b-46e8-9b74-a286eec5f629,Book 6916,5
Author 17,317d6c50-a30a-4162-a156-680f7ff4cc38,Book 6917,5
Author 18,e237d449-e60a-4320-a0c1-8ef9c76296cc,Book 6918,5
Author 19,75b5eede-cfb1-437e-852c-a6cd4dfbfec1,Book 6919,1
Author 0,a4126c27-c2c2-4e6e-b69c-78dbd75ce749,Book 6920,1
Author 1,8bc2d402-1f6b-4538-b7ea-b83650c28ae2,Book 6921,4
Author 2,cad51b08-2457-44a2-895a-17fecab975da,Book 6922,3
Author 3,1047d7d3-b901-41d2-88eb-b72c1c82bd3b,Book 6923,4
Author 4,c5175a9b-c7d9-4bdb-97a8-b4fdd109e8d3,Book 6924,4
Author 5,0a473078-5c9f-426e-a6f0-1503d8ff14a7,Book 6925,5
Author 6,9226b97e-78eb-45c8-8c25-6df95f230756,Book 6926,4
Author 7,d0b42df1-bb22-48cd-847c-6b3b76314d11,Book 6927,5
Author 8,9772de1e-289f-49fd-a9d9-94823102a81d,Book 6928,2
Author 9,891c80bf-9e30-498c-bad6-4f70a688ef74,Book 6929,5
Author 10,0a244539-f690-4d98-ad19-96b13ecf50e0,Book 6930,2
Author 11,8abc840a-71d3-4dba-bb15-fd99b208d2a6,Book 6931,1
Author 12,437514ab-0730-4e1d-80da-02a265958775,Book 6932,2
Author 13,0848d5cc-6add-4428-8126-d0df4192a180,Book 6933,3
Author 14,f9d60444-117b-428f-9df8-a224dbaa9663,Book 6934,1
Author 15,ce1389bb-2282-4f59-8e0b-91e5958d80b5,Book 6935,2
Author 16,8ed8aab3-5b64-49c7-be70-865bc75e2647,Book 6936,4
Author 17,12b4ef80-51e5-40d7-9b6d-1c89bac722fb,Book 6937,2
Author 18,3650b07f-31f7-40c8-b4f9-e9b46a4d4dcd,Book 6938,1
Author 19,50e4ecdc-8527-415b-b92d-2dd38cc6469d,Book 6939,5
Author 0,00c2c28d-2ca7-435d-9f6a-2fb8b070fe85,Book 6940,4
Author 1,e3d0b8fb-5703-4ca6-8631-a539e3e78531,Book 6941,2
Author 2,3adb75fd-860b-459f-a881-f96e9df603cb,Book 6942,5
Author 3,05e35363-b1d2-4dc5-8b5f-065cfe12d75b,Book 6943,3
Author 4,77b75c2e-aea7-451d-a828-87a95f31665f,Book 6944,1
Author 5,38081dc2-3663-42f3-8c48-7c32fe002920,Book 6945,4
Author 6,22c4f120-dc24-4576-9b57-2ae3d72f0d1b,Book 6946,2
Author 7,a78e7720-4454-43fc-a6f3-1a0d94e9a36f,Book 6947,4
Author 8,777ae98c-f5b7-45d7-b0b0-37eb29bc996e,Book 6948,1
Author 9,1f73b1af-a8c1-4439-a7d5-d64ab809b8b6,Book 6949,2
Author 10,cc8e92ff-a63b-4358-a71b-108a3cf09d36,Book 6950,2
Author 11,c513bc22-a4df-40a1-86f4-a8b6a0f7e674,Book 6951,3
Author 12,f4096e08-c443-4d42-9570-eb9b3251fa08,Book 6952,2
Author 13,37c969f7-74ce-40cc-8978-0cc09923cef8,Book 6953,3
Author 14,793aa603-35f8-47e3-850d-705f110a0a13,Book 6954,1
Author 15,0241f463-e691-404f-a3c7-4ca738cc1316,Book 6955,5
Author 16,a34ee4ef-97a9-46c2-9ffc-52796e26e081,Book 6956,4
Author 17,31b8fa45-6c81-4762-9ab5-9a6f95a0a1ad,Book 6957,1
Author 18,de194cd4-38bf-4694-9fe8-a8b5de6c501e,Book 6958,1
Author 19,3bad03bf-a3c0-4942-8655-5f7f289c6eb6,Book 6959,2
Author 0,ede2e0c5-0f3c-4331-8759-60a72d82e0df,Book 6960,3
Author 1,460be62f-4a8c-4fac-8ed6-9cd0b893dbdd,Book 6961,4
Author 2,7eb54411-82a1-41d1-8fe2-86284051b673,Book 6962,1
Author 3,9b4cc26c-d3c8-4ca7-9ec6-f3023ddfc81a,Book 6963,1
Author 4,aea26d01-d95c-4b31-a505-2dc0f2c9cc75,Book 6964,2
Author 5,4669c49c-98c2-4212-bdcc-8b063c2902b0,Book 6965,4
Author 6,868c13e3-760f-4064-a7b0-d416f138d4d7,Book 6966,1
Author 7,e928817d-1af2-422e-a929-38dde88f3b7a,Book 6967,2
Author 8,133f7f3b-c5fa-48dc-9677-0aee0e5620e4,Book 6968,4
Author 9,f9f7e021-6a00-436a-841d-b6ebf867c29a,Book 6969,4
Author 10,598ba67e-4388-484a-ad92-dc731540bee6,Book 6970,3
Author 11,50d7abeb-eae5-438b-92a3-af3c763a82a1,Book 6971,3
Author 12,76a14e0e-01a8-4d15-aacc-205689362742,Book 6972,5
Author 13,488fc9e9-ca42-487b-8fb0-bda4d8da77ce,Book 6973,4
Author 14,c5317122-2466-4e22-9cf5-8b1f7bd3f4e0,Book 6974,5
Author 15,713b82cd-fd71-4d9b-9cd5-00a9fbf6b33c,Book 6975,2
Author 16,b16e2b83-c1ae-4305-9ad2-2900f905b95e,Book 6976,4
Author 17,be035ebc-dda2-4ca6-bbba-7e076df71213,Book 6977,5
Author 18,93191b53-6642-4f51-b0f2-7aa6534a6f1e,Book 6978,2
Author 19,c8dd12af-9a3c-4f64-a6fb-e17a971a2aac,Book 6979,5
Author 0,465e0698-3aaf-456c-9cae-c375c5f317e9,Book 6980,5
Author 1,9f607706-b70f-484e-b7ba-b6770f96d980,Book 6981,3
Author 2,be5ffc42-9864-407e-8f1b-2b80a9b56f66,Book 6982,2
Author 3,906a3cad-9d02-49fd-b551-10cebbdfdb4c,Book 6983,3
Author 4,cd636d0e-ef53-425d-b530-eab3c1380ecd,Book 6984,4
Author 5,2a624a87-df43-44c3-8fc5-54654a532596,Book 6985,4
Author 6,56d5df9e-19dd-4c77-aaec-62a406e25850,Book 6986,2
Author 7,2d73d1d8-8655-4e0c-ae86-a4473d0aa24c,Book 6987,1
Author 8,643450e7-2b06-4d95-9551-5814daeb35d9,Book 6988,4
Author 9,66b2919f-c458-406b-8779-2deebc6afe2f,Book 6989,1
Author 10,7e504336-ca43-44cb-82f4-db36104254eb,Book 6990,1
Author 11,441ef239-189a-4d6b-9ffd-3f6c7b6556b6,Book 6991,5
Author 12,4d14fe40-b775-4c43-b10e-c80cf8645ce6,Book 6992,4
Author 13,6f21a15c-58b9-4919-b0b8-eb447056d650,Book 6993,4
Author 14,16e17510-5605-4d82-9023-ddbcdc7719a5,Book 6994,1
Author 15,6caa409c-f8f6-4460-8026-90ec6b242a5d,Book 6995,1
Author 16,f2cf629e-7c89-4c33-9b6e-b6ef3fc139d9,Book 6996,5
Author 13,67815753-176d-41c2-beb7-0de69ca076a5,Book 6233,4
Author 14,80876be6-445c-497d-8607-ce5bf0bfef01,Book 6234,1
Author 15,e464aec1-62a6-4550-addd-7f81ef3554a5,Book 6235,3
Author 16,3d5f5c2c-19c0-4abb-a8b2-bd85f53e52e9,Book 6236,5
Author 17,b2aff14f-e021-4fc2-b0ff-fa4ea14a4167,Book 6237,2
Author 18,8a719d52-ed3c-4e6d-ad2c-91812bbfa343,Book 6238,2
Author 19,5d97aafd-c145-4b0b-8f58-bc9e595d60ea,Book 6239,4
Author 0,45c09b51-80e0-4c42-a496-9df020b30bc8,Book 6240,4
Author 1,5c62c094-e3f9-4194-8e17-573d44260a83,Book 6241,1
Author 2,6286eeb7-aa6b-416c-8629-aa56a4c230e3,Book 6242,5
Author 3,333264a8-071e-47f0-b395-e782c52aad20,Book 6243,1
Author 4,6a4a872b-5c29-4184-9803-f1735b1b950a,Book 6244,4
Author 5,95fe7bbc-316c-41c1-88d7-2779d7163fba,Book 6245,3
Author 6,de999a9d-e3aa-4256-9ab6-4e7d1222c0f8,Book 6246,1
Author 7,1f684d52-7573-4706-82f3-00b2a80a7ccf,Book 6247,3
Author 8,7880f48a-38df-4a71-81dc-f5f17ba46e8f,Book 6248,3
Author 9,3290403c-fc4e-43c5-897d-cd7d43cc7daa,Book 6249,1
Author 10,216822de-7453-4a70-a433-f9dc0f013498,Book 6250,2
Author 11,dcdffa9c-e677-4558-b7e2-15b5fb438d84,Book 6251,4
Author 12,4c587cc8-93e7-4569-b101-5afce515c41b,Book 6252,3
Author 13,1f6aed6e-5b30-4e49-8425-e5fc364e3bc5,Book 6253,1
Author 14,5cbd21cd-7ffd-4abc-92fe-de297c0bc616,Book 6254,4
Author 15,6635d8d2-ef7a-4dc2-8238-ee0e76a4210a,Book 6255,1
Author 16,8d9a5144-645b-4303-94ee-909351e155bc,Book 6256,2
Author 17,ce71b6bc-d058-43a6-b32b-ce80dd6cc334,Book 6257,1
Author 18,9c4256ff-bad5-4cce-ba83-8f1a3f9423f3,Book 6258,2
Author 19,492d8159-63ac-414d-8d0a-5af595ecead7,Book 6259,5
Author 0,05ac0250-1e91-481c-91ef-1250829f2ea9,Book 6260,1
Author 1,4b178c8e-b18a-4ae8-b19e-5d089c07ef96,Book 6261,1
Author 2,2a2ca68c-1813-4e4f-9bf7-47b596b8f9e4,Book 6262,2
Author 3,2dcfd419-f7af-46b1-bb9d-bda8cec1fdad,Book 6263,2
Author 4,be4bad06-96e6-415f-8404-8b6953aa92ab,Book 6264,3
Author 5,45ac2df4-427f-4a44-9c39-941abab1070f,Book 6265,1
Author 6,41112c7a-837a-4496-b3fa-d65ffd37178d,Book 6266,2
Author 7,67dd2117-1276-43b8-9640-d5157d2b9a90,Book 6267,2
Author 8,bebf4ba8-11ca-4364-b938-d0072dd04e54,Book 6268,4
Author 9,db3f6c89-6038-4ccb-98a4-b84ceeabe224,Book 6269,5
Author 10,c359313b-51db-4aac-9879-7de1b669049a,Book 6270,2
Author 11,ff229b6a-22de-4068-8dfe-0d0f439cfab7,Book 6271,5
Author 12,6b616b5e-4842-4092-9ddc-1bc3a81a961a,Book 6272,1
Author 13,61e85b21-4a11-4bde-b4e3-0c1b08976338,Book 6273,3
Author 14,0b1bb8b8-17e3-4975-8e14-ef57517fa983,Book 6274,2
Author 15,207b86e2-0382-47cc-bafa-d64356a8678d,Book 6275,4
Author 16,ead7cd7d-b018-4be7-b799-8c7e971c41fb,Book 6276,3
Author 17,4069d93d-5747-4aaa-8fee-b822ecd6acc1,Book 6277,1
Author 18,1f4a3a2f-0ddd-43ba-ab08-b0f7c2dcb5e3,Book 6278,2
Author 19,cdcb4814-299b-4a85-badd-ebc0dde0f96f,Book 6279,3
Author 0,ad2bf570-8576-4493-8a8d-290637b98a8b,Book 6280,4
Author 1,4588eaad-5ed7-44a8-b5b9-60757217de45,Book 6281,3
Author 2,57408380-d3aa-483f-9d85-fa7d6b3b85cb,Book 6282,4
Author 3,8dbb5b1a-0190-40f0-b212-bf6de47e3073,Book 6283,4
Author 4,302cbc78-a964-4c56-8296-d120046175c8,Book 6284,1
Author 5,209eea0b-4490-4da6-9e99-8234aa06728a,Book 6285,3
Author 6,52380ec6-070f-4c32-af15-6ee57516823e,Book 6286,5
Author 7,09c5678e-2507-4639-be3d-c222fb38a5ad,Book 6287,3
Author 8,8c6dcbb6-b75e-45ea-9f96-356683a67ba5,Book 6288,3
Author 9,cf9ec3d5-68cb-4fbf-97c6-6d948c368b95,Book 6289,5
Author 10,e93d3d47-dcee-4047-8d47-ba2f11295da6,Book 6290,5
Author 11,c28c7e18-6744-4373-ba43-fc009958866d,Book 6291,2
Author 12,3b6e68d3-9f79-4a50-bab8-44622bc9e261,Book 6292,3
Author 13,880f69ad-f60b-4e75-ba6c-f25c14ee4e9e,Book 6293,1
Author 14,d309db78-7288-4533-9d31-dbc3380c3685,Book 6294,3
Author 15,83285959-2368-4643-81bf-c217551a776e,Book 6295,4
Author 16,7c3e3830-b913-443b-9c5f-bbd277facdc7,Book 6296,1
Author 17,9afe0ffc-32b5-402d-b711-86c45ce20e03,Book 6297,4
Author 18,f9e003bd-740c-469a-a348-e5e811d6839f,Book 6298,2
Author 19,e0c735bc-35da-4237-b034-1a6efaa9aac2,Book 6299,2
Author 0,b4374ede-b74c-4200-8934-78620c8ceb22,Book 6300,4
Author 1,364c7443-d08b-4b4d-a78f-76ac319e09fc,Book 6301,5
Author 2,2043bfac-0721-4122-9e19-64550908eb38,Book 6302,3
Author 3,43b0e3d5-0962-41ed-8515-056818952db9,Book 6303,5
Author 4,53e315f0-4994-4c95-b551-a7dfe8bea896,Book 6304,1
Author 5,7353d36d-e7de-4602-8672-aeb5c8ea993b,Book 6305,5
Author 6,97f26181-ef12-4c7d-bb22-1d6b490290fc,Book 6306,2
Author 7,264fa084-7015-411b-8991-2d554cd4ee63,Book 6307,2
Author 8,3cf9f27f-6bea-415b-ab42-90027c02eea8,Book 6308,4
Author 9,3f70ab31-7c38-4fb1-a5d1-703304f94bd8,Book 6309,2
Author 10,6c0a2550-a776-4991-a842-eab153f53cc9,Book 6310,2
Author 11,624a0162-6ab0-4ff6-9e13-d222a8583747,Book 6311,2
Author 12,946c53de-9db7-44de-802b-574f79630b56,Book 6312,1
Author 13,2879d7c2-b924-4156-9efb-ac1dd61c1527,Book 6313,2
Author 14,4ef1edf7-5f84-479f-a24e-54eea7315e93,Book 6314,5
Author 15,b1ee7b73-452b-4bbc-b12a-8eabe1a36e33,Book 6315,3
Author 16,48971012-0b0b-4c3f-96ff-de96848296af,Book 6316,3
Author 17,56baa092-09c9-4b71-8bd6-c42375a0ff5c,Book 6317,2
Author 18,13666fac-42a0-42ba-89ad-218ad016bce0,Book 6318,3
Author 19,7c189bbe-0fff-495b-b212-a88bd2a436eb,Book 6319,3
Author 0,b0fe45e2-d436-436c-a21a-619bff0d3d15,Book 6320,5
Author 1,227373fb-2781-4468-a8ca-39487a1a1170,Book 6321,3
Author 2,976324dd-cfad-4761-88e6-483e6c545067,Book 6322,2
Author 3,71685c34-7f89-4db3-974c-7ba89e59f1d9,Book 6323,4
Author 4,74bc2e1c-da16-4563-88d1-fbed363d820f,Book 6324,4
Author 5,cc33fb04-13f0-4fab-9f0c-497f96e61217,Book 6325,4
Author 6,ce6022e6-1f23-444d-a609-808157239de4,Book 6326,4
Author 7,9d2e08e4-6d91-408c-a375-6785fb7f7599,Book 6327,1
Author 8,327f15f9-e11b-4f70-983b-71929fe8fa49,Book 6328,4
Author 9,4f7c188d-c032-4321-99d5-d3eef05777a4,Book 6329,4
Author 10,414c5f99-7998-42c8-8502-53d982381d34,Book 6330,4
Author 11,623a75a0-b62a-47db-9e39-43fe4e74a128,Book 6331,4
Author 12,bc3e3593-d01e-4984-8edd-d7368dcc9eb7,Book 6332,1
Author 13,23d26fb8-5e7e-4ff9-987a-7838badcb6fa,Book 6333,3
Author 14,960e748f-6ce2-4e1e-82f3-eefa21055d23,Book 6334,2
Author 15,6cd9c4f5-28e1-4d31-8b19-760834d3361f,Book 6335,3
Author 16,4cedb5b9-6a98-4c07-825d-d47c361af9f6,Book 6336,5
Author 17,14f0486b-94e9-4c36-8f88-98a632aef074,Book 6337,3
Author 18,e792e5eb-67b2-4c5a-bd1b-ca44fb65b1a6,Book 6338,4
Author 19,e0742ee7-6c8a-426b-a545-8b01d3a1e9fd,Book 6339,4
Author 0,8a560b1b-2872-417e-afc3-1c1e30a25722,Book 6340,3
Author 1,428179d5-97fe-4e00-b63d-74b9a3f0713b,Book 6341,2
Author 2,e0b81154-66e1-4500-8d48-465248f772ff,Book 6342,5
Author 3,bff77e12-896f-4380-b330-30dea02cc638,Book 6343,1
Author 4,fcfe5bb3-7284-4ab7-8cf9-ba6b6943e108,Book 6344,3
Author 5,c282c140-27e6-4974-abc9-507f57281f19,Book 6345,5
Author 6,61753422-874e-4d2b-9f87-7d7ec74ac31b,Book 6346,4
Author 7,6989c811-5ee7-4162-a43e-29ca3009f2de,Book 6347,1
Author 8,85b41c6b-2aed-4ebf-ba31-a56d77419956,Book 6348,2
Author 9,9c1921a3-8c92-4cf0-b1e2-d70d80fe1132,Book 6349,3
Author 10,47a7b7de-de7f-4b9b-90db-4a4c176d14c4,Book 6350,4
Author 11,562ee584-ca75-4e54-be76-b751e52ae700,Book 6351,5
Author 12,3cdd00f3-08b6-4f1a-8e63-812b73e27d90,Book 6352,1
Author 13,63c74c21-1545-4cc3-8a98-94f5034e1842,Book 6353,2
Author 14,9fc46766-1534-400f-90e4-5d04d76aee81,Book 6354,5
Author 15,ff422c18-7d32-42cb-aaaa-55dd90aae05d,Book 6355,1
Author 16,a43ac55f-a0ad-4956-a01d-78c9c2799542,Book 6356,4
Author 17,d7eed0d0-3e38-4f27-9929-8088e738febb,Book 6357,5
Author 18,d9d1bec3-4e22-48d8-a030-94688bbd1391,Book 6358,3
Author 19,034c388a-0c31-4c2a-b11b-f6b98ac0ea58,Book 6359,4
Author 0,1b8528e2-4d36-4e40-acac-10314c9c91d7,Book 6360,4
Author 1,e2e5696a-9690-41cc-9ed0-672116b9d415,Book 6361,2
Author 2,f81d703f-d755-4daa-9290-a38465d614b5,Book 6362,3
Author 3,6a849d74-4a12-4144-a937-0c21a270ad3d,Book 6363,5
